LINE_NO,LABEL_NO,bianma,dwell_time
K159,7,837,33.166666666666664
882,2,838,50.23076923076923
K10,34,839,52.55555555555555
517,9,840,0.0
A303,29,841,19.0
K183,23,842,0.0
303,29,843,27.9
303,30,844,20.0
303,28,845,26.05
334,2,846,27.69090909090909
889,48,847,12.5
330,8,848,0.0
330,7,849,31.499999999999996
331,10,850,0.0
882,9,851,33.22727272727273
882,6,852,26.363636363636367
887,14,853,34.72727272727273
885,55,854,36.5
886,45,855,24.625
885,54,856,23.125
885,52,857,22.5
817,16,858,20.25
882,12,859,37.04545454545455
882,10,860,35.31818181818182
813,12,861,19.9
817,15,862,32.5
812,11,863,23.45744680851064
325,48,864,11.571428571428571
332,9,865,24.714285714285715
333,6,866,28.666666666666668
333,8,867,39.0
815,24,868,24.84210526315789
812,22,869,11.157894736842104
812,18,870,23.24561403508772
K141,33,871,10.925925925925926
K141,26,872,26.46732026143791
K60,18,873,0.0
809,16,874,29.5
809,18,875,0.0
813,8,876,38.44444444444444
882,13,877,39.13636363636363
816,8,878,41.6
813,10,879,17.8
65,27,880,28.148039215686275
65,20,881,40.27173913043478
882,19,882,11.25
504,11,883,31.685971540698972
K17,14,884,31.89
A142,13,885,23.772429906542055
506,7,886,41.69930069930071
502,8,887,29.588098047165882
512,1,888,37.73975728936314
K76,4,889,33.892990522109976
K155,10,890,31.470393933813444
K28,6,891,38.083163534859374
T4,8,892,40.7846083080847
K100,10,893,34.49569973970216
K93,31,894,22.329306722689076
K49,22,895,32.430074311324354
K2,13,896,37.37828938113428
K48,18,897,0.0
K54,17,898,39.499920750612965
K72,32,899,42.71737198964803
K171,2,900,34.01097460864378
T2,8,901,39.71686447199506
A303,1,902,37.72143974960876
325,2,903,30.302738673706415
K152,16,904,40.058485666378765
K160,28,905,40.30866150113402
K59,26,906,48.18795717383363
K49,6,907,32.66935016438794
T19,12,908,30.056390977443606
K138,23,909,36.641304347826086
K138,22,910,33.525514284605954
K138,16,911,34.10479505239169
K150,21,912,30.20439047661667
K168,15,913,42.98955342214371
K160,8,914,39.868681607013315
K163,23,915,37.381778136388746
K168,9,916,34.25391251315896
K166,15,917,24.58695652173913
K150,14,918,29.87170404871304
K123,2,919,27.822268326417703
K185,2,920,41.22248718397178
T20,12,921,38.59722861028787
K131,9,922,26.18235294117647
519,12,923,27.842726313354728
K40,1,924,39.478929776460205
119,16,925,43.45428157702424
519,2,926,47.750294790800346
K202,33,927,39.18971346061047
503,6,928,28.991720841591448
K139,10,929,0.0
312,45,930,31.869288995061606
519,10,931,30.20749012950355
K74,14,932,38.64233576642336
K41,20,933,38.632632404312645
K128,2,934,45.06340057636888
K94,24,935,35.28761672107961
K96,30,936,38.289844986840926
K5,18,937,35.94870042949614
K115,30,938,38.416018275746325
K85,22,939,31.16513931888545
K170,9,940,28.38490566037736
K47,1,941,41.832959690224726
K11,11,942,34.89458938833629
K55,18,943,38.49886921169421
116,3,944,47.57052100074784
K2,18,945,37.903044204816446
K31,14,946,37.80255710376571
K37,21,947,38.449698753137625
K95,2,948,39.33816425120773
K91,31,949,36.22242561027608
K106,31,950,32.01215021741195
K106,29,951,33.99717318200925
A10,35,952,28.23928571428571
K122,16,953,34.44180728691598
K123,14,954,26.242492975270153
K159,10,955,38.766666666666666
K159,11,956,33.0
K159,9,957,37.06666666666667
888,21,958,0.0
886,51,959,15.75
K183,15,960,10.444444444444445
305,21,961,27.046875
338,5,962,22.666666666666668
326,4,963,13.772374227714034
65,41,964,26.195652173913043
312,16,965,15.928151260504205
326,15,966,21.349999999999994
326,18,967,9.25
326,11,968,24.775
65,33,969,29.0343137254902
65,34,970,27.76595744680851
818,26,971,28.8
885,49,972,27.75
883,47,973,28.6
818,21,974,29.53333333333333
886,44,975,14.166666666666666
886,43,976,25.416666666666668
812,14,977,28.50588235294118
819,27,978,0.0
819,25,979,37.16666666666666
819,26,980,30.666666666666668
886,47,981,29.5
886,46,982,27.5
885,51,983,31.75
819,5,984,9.0
812,20,985,24.735119047619047
K172,23,986,23.741935483870968
K172,22,987,31.29032258064516
K141,34,988,15.0
K141,35,989,25.67924528301887
K24,14,990,24.055555555555557
K141,39,991,28.799999999999997
K141,30,992,26.409784946236556
K20,17,993,18.162337662337663
813,9,994,48.0
815,6,995,23.818891741548995
882,17,996,31.703703703703702
881,7,997,23.617021276595743
888,7,998,44.7037037037037
65,26,999,26.98039215686275
K145,2,1000,23.69685844217205
510,4,1001,38.99962720327056
518,20,1002,24.929720279720286
K161,30,1003,19.49146841673503
K60,6,1004,25.77719750406945
